代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
430478,峆一药业,18.79,-1.00,-0.19,0.00,8.28,1.29,5.95,5466.26万,3423.35万,6.43亿,21.18
600273,嘉化能源,7.89,-1.00,-0.08,-0.25,0.96,0.77,2.01,1.07亿,13.91亿,109.75亿,10.41
000739,普洛药业,15.78,-1.00,-0.16,0.00,0.48,1.23,2.20,8841.26万,11.69亿,184.45亿,15.91
600499,科达制造,7.88,-1.00,-0.08,0.00,0.56,0.92,1.76,8528.94万,19.18亿,151.13亿,16.13
600320,振华重工,3.92,-1.01,-0.04,-0.25,0.90,1.27,1.77,1.18亿,33.22亿,130.22亿,35.78
002011,盾安环境,10.75,-1.01,-0.11,0.00,0.91,0.99,1.93,8994.47万,9.16亿,98.50亿,13.24
300012,华测检测,12.69,-1.01,-0.13,0.00,1.54,0.67,2.18,2.83亿,14.32亿,181.69亿,21.45
600509,天富能源,6.74,-1.03,-0.07,-0.15,1.86,1.03,2.50,1.72亿,13.74亿,92.63亿,14.07
600873,梅花生物,10.58,-1.03,-0.11,0.19,0.66,0.79,1.87,2.00亿,28.53亿,301.83亿,11.35
300313,ST天山,6.73,-1.03,-0.07,-0.44,4.61,1.82,6.47,6246.73万,1.97亿,13.28亿,亏损
600997,开滦股份,6.70,-1.03,-0.07,0.00,0.60,0.76,1.92,6383.12万,15.88亿,106.38亿,12.31
601888,中国中免,68.70,-1.04,-0.72,-0.02,0.69,0.72,1.15,9.28亿,19.52亿,1341.35亿,27.20
600563,法拉电子,118.80,-1.04,-1.25,-0.03,1.27,1.33,2.31,3.39亿,2.25亿,267.30亿,25.88
301552,科力装备,59.30,-1.05,-0.63,0.24,15.14,1.33,4.32,1.25亿,1372.84万,8.14亿,26.30
600233,圆通速递,14.03,-1.06,-0.15,-0.07,0.43,1.08,1.62,2.10亿,34.45亿,483.39亿,12.37
688403,汇成股份,9.34,-1.06,-0.10,0.11,4.05,1.46,2.86,2.22亿,5.79亿,54.08亿,58.21
600153,建发股份,10.26,-1.06,-0.11,0.00,0.85,0.65,1.83,2.53亿,29.00亿,297.49亿,11.02
002250,联化科技,5.58,-1.06,-0.06,0.00,3.23,1.43,4.08,1.66亿,9.07亿,50.58亿,117.34
000690,宝新能源,4.65,-1.06,-0.05,0.00,1.72,0.74,2.13,1.75亿,21.74亿,101.11亿,12.81
600035,楚天高速,4.65,-1.06,-0.05,0.22,1.36,0.88,3.40,1.03亿,16.10亿,74.87亿,8.47
600821,金开新能,5.58,-1.06,-0.06,0.00,0.69,0.66,1.24,7777.14万,19.97亿,111.45亿,11.20
300941,创识科技,26.95,-1.06,-0.29,0.00,19.45,1.01,7.89,6.49亿,1.21亿,32.69亿,146.25
603995,甬金股份,18.55,-1.07,-0.20,-0.11,0.61,0.70,2.03,4165.30万,3.66亿,67.82亿,8.71
